APÓLICE;NUMERO_PI;Municipio;UF;LATITUDE;LONGITUDE;CULTURA;STATUS;NOME;ÁREA GARANTIDA (ha)
5933575908;9593440359;URUAÇU;GO;-14,5238;-49,1396;MAÇÃ;ATIVA;LURDINHA DO TRIGO;264,91
3690848883;5552278304;ITIÚBA;BA;-10,6948;-39,8446;MAÇÃ;ATIVA;DONA LÚCIA DO TOMATE;477,36
1674328310;4449083183;BENEDITO NOVO;SC;-26,781;-49,3593;BATATA;ATIVA;MARIAZINHA DO ALGODÃO;93,25
9976007798;9290577426;ITAPECERICA DA SERRA;SP;-23,7161;-46,8572;MAÇÃ;ATIVA;ROSINHA DO TOMATE;137,57
9589491384;3701379638;HIDROLÂNDIA;CE;-4,40958;-40,4056;BATATA;ATIVA;CHIQUINHA DA SOJA;409,62
5702234988;4796941371;ANGICOS;RN;-5,65792;-36,6094;BATATA;ATIVA;LURDINHA DO ARROZ;345,35
2154129322;7812294430;GUIDOVAL;MG;-21,155;-42,7887;MILHO;ATIVA;TONHÃO DO ARROZ;368,53
3321432100;6204010534;LUZILÂNDIA;PI;-3,4683;-42,3718;TRIGO;ATIVA;SEU PEDRO DA BATATA;489,43
1086597614;1105744738;JOSÉ DE FREITAS;PI;-4,75146;-42,5746;BATATA;ATIVA;MANÉ DO ALGODÃO;265,34
9075525753;9131912028;CONQUISTA;MG;-19,9312;-47,5492;BATATA;ATIVA;SEU PEDRO DO TOMATE;475,72
2065436392;8068533457;VIANA;ES;-20,3825;-40,4933;SOJA;ATIVA;ROSINHA DA SOJA;225
5362034182;6914171754;CRUZALTENSE;RS;-27,6672;-52,6522;BATATA;ATIVA;CHIQUINHA DO MILHO;206,88
1181492559;1837873797;JATOBÁ;PE;-9,17476;-38,2607;BATATA;ATIVA;CHIQUINHA DO TOMATE;401,46
3038798655;7404620746;BREJO GRANDE DO ARAGUAIA;PA;-5,69822;-48,4103;MILHO;ATIVA;CHIQUINHA DO ARROZ;358,16
6372015473;6132127999;PRESIDENTE CASTELLO BRANCO;SC;-27,2218;-51,8089;MILHO;ATIVA;LURDINHA DA SOJA;322,94
2390723203;8145485456;ADUSTINA;BA;-10,5437;-38,1113;SOJA;ATIVA;ZÉ DA BATATA;99,94
2638799796;8892147242;MONTE FORMOSO;MG;-16,8691;-41,2473;BATATA;ATIVA;DONA LÚCIA DO ALGODÃO;373,3
3677653228;1121245155;GRAÇA ARANHA;MA;-5,40547;-44,3358;BATATA;ATIVA;ZÉ DO ALGODÃO;71,42
4529098560;3530597154;DOIS IRMÃOS DO TOCANTINS;TO;-9,25534;-49,0638;TRIGO;ATIVA;MARIAZINHA DO TRIGO;278,24
5574686269;6898429395;PORTEL;PA;-1,93639;-50,8194;MAÇÃ;ATIVA;TONHÃO DA CEBOLA;26,44
7444906839;3421368830;MINISTRO ANDREAZZA;RO;-11,196;-61,5174;SOJA;ATIVA;ZÉ DO ARROZ;174,25
6102860454;8144140970;CÂNDIDO MOTA;SP;-22,7471;-50,3873;BATATA;ATIVA;TONHÃO DA CEBOLA;61,37
4496256124;9487050296;ORIZONA;GO;-17,0334;-48,2964;MAÇÃ;ATIVA;MARIAZINHA DO TOMATE;443,8
9099716089;7668252049;JOSÉ GONÇALVES DE MINAS;MG;-16,9053;-42,6014;SOJA;ATIVA;MARIAZINHA DO MILHO;421,92
7684945672;1616746386;TEUTÔNIA;RS;-29,4482;-51,8044;SOJA;ATIVA;MARIAZINHA DA BATATA;82,32
2589291423;6467165805;PIRANHAS;GO;-16,4258;-51,8235;BATATA;ATIVA;BETO DO ARROZ;337,51
3822777008;6596049732;CUNHA;SP;-23,0731;-44,9576;MILHO;ATIVA;SEU PEDRO DA SOJA;60,9
9874347786;5575341693;SÃO JOSÉ DOS PINHAIS;PR;-25,5313;-49,2031;MAÇÃ;ATIVA;MARIAZINHA DO CAFÉ;99,57
6588117759;7354616148;ALTO PARNAÍBA;MA;-9,10273;-45,9303;MAÇÃ;ATIVA;LURDINHA SOJINHA;44,38
7326013522;1328786235;SABINO;SP;-21,4593;-49,5755;BATATA;ATIVA;LURDINHA DO ARROZ;170,02
4843820851;3256382518;GUAÍRA;PR;-24,085;-54,2573;BATATA;ATIVA;CHIQUINHA SOJINHA;368,9
1567916284;3410983603;CAMPOS NOVOS PAULISTA;SP;-22,602;-49,9987;SOJA;ATIVA;CHIQUINHA DA CEBOLA;487,24
3108433914;3815644087;SÃO TOMÁS DE AQUINO;MG;-20,7791;-47,0962;SOJA;ATIVA;DONA LÚCIA DA CEBOLA;313,98
6078385213;6259997488;NOVA LUZITÂNIA;SP;-20,856;-50,2617;BATATA;ATIVA;DONA LÚCIA DO TOMATE;217,03
1559635969;2706195707;SANTO ANTÔNIO DO CAIUÁ;PR;-22,7351;-52,344;TRIGO;ATIVA;JOÃOZINHO DO TOMATE;296,09
5030572402;2332773755;PINDORAMA;SP;-21,1853;-48,9086;SOJA;ATIVA;SEU PEDRO DA SOJA;182,27
1001153065;6089931532;CIDREIRA;RS;-30,1604;-50,2337;TRIGO;ATIVA;MANÉ DO TRIGO;395,29
1452721233;5873260882;CANDELÁRIA;RS;-29,6684;-52,7895;SOJA;ATIVA;CHIQUINHA SOJINHA;210,19
6512474677;1255235294;ARAPUÁ;MG;-19,0268;-46,1484;SOJA;ATIVA;TONHÃO DO CAFÉ;95,77
8934633148;1484523784;CAIABU;SP;-22,0127;-51,2394;TRIGO;ATIVA;SEU PEDRO DO ARROZ;144,15
1395337604;2804703319;CAPITÃO LEÔNIDAS MARQUES;PR;-25,4816;-53,6112;MAÇÃ;ATIVA;TONHÃO DO ARROZ;187,71
5866502149;8391040122;SÃO SEBASTIÃO;AL;-9,93043;-36,559;MAÇÃ;ATIVA;JUJU DA CEBOLA;438,1
4826237588;9607274950;POXORÉU;MT;-15,8299;-54,4208;TRIGO;ATIVA;JOÃOZINHO DA BATATA;303,55
6006459949;1544700350;SÃO PEDRO DA ÁGUA BRANCA;MA;-5,08472;-48,4291;TRIGO;ATIVA;TONHÃO SOJINHA;62,14
6984178242;3096284574;ARINOS;MG;-15,9187;-46,1043;MAÇÃ;ATIVA;ZÉ DO MILHO;346,74
7979947141;5617986831;BARÃO DE MELGAÇO;MT;-16,2067;-55,9623;MILHO;ATIVA;MARIAZINHA DO CAFÉ;352,56
5732501776;9803879260;TREMEDAL;BA;-14,9736;-41,4142;BATATA;ATIVA;DONA LÚCIA DA SOJA;279,75
7382576065;6624749598;HIDROLINA;GO;-14,7261;-49,4634;MILHO;ATIVA;TONHÃO DO ALGODÃO;229,94
3844674144;5680071581;PLATINA;SP;-22,6371;-50,2104;BATATA;ATIVA;TONHÃO DA CEBOLA;332,08
3172312669;4374613728;ÁGUAS BELAS;PE;-9,11125;-37,1226;BATATA;ATIVA;MARIAZINHA DO ALGODÃO;40,1
7742486045;8223977114;JEQUITAÍ;MG;-17,229;-44,4376;SOJA;ATIVA;JOÃOZINHO DO ARROZ;85,26
9875774951;2342564305;VENTANIA;PR;-24,2458;-50,2376;BATATA;ATIVA;MANÉ DO CAFÉ;284,22
2812731742;5845721715;TOBIAS BARRETO;SE;-11,1798;-37,9995;BATATA;ATIVA;BETO DA SOJA;185,68
1338007257;1159947272;GUARATINGUETÁ;SP;-22,8075;-45,1938;BATATA;ATIVA;JUJU DO ALGODÃO;458,84
8830635000;9690877204;LAGOA DO OURO;PE;-9,12567;-36,4584;MILHO;ATIVA;SEU PEDRO DA CEBOLA;315,39
6549157541;9329576139;CUJUBIM;RO;-9,36065;-62,5846;MILHO;ATIVA;LURDINHA DO TRIGO;20,95
7013384821;1464957329;TOMÉ-AÇU;PA;-2,41302;-48,1415;MAÇÃ;ATIVA;TONHÃO DO MILHO;63,59
1097387191;6043845086;ARRAIAL DO CABO;RJ;-22,9774;-42,0267;TRIGO;ATIVA;SEU PEDRO DO ARROZ;235,79
4123632474;8590705391;SANTANA DO MATOS;RN;-5,94605;-36,6578;SOJA;ATIVA;ROSINHA DO CAFÉ;120,15
4140751190;8445866786;SANTA ROSA DO PURUS;AC;-9,44652;-70,4902;BATATA;ATIVA;JOÃOZINHO DO MILHO;411,64
4074633039;2674840245;PÃO DE AÇÚCAR;AL;-9,74032;-37,4403;MAÇÃ;ATIVA;CHIQUINHA DA SOJA;456,57
6223856751;7529333328;IRUPI;ES;-20,3501;-41,6444;SOJA;ATIVA;ZÉ DA CEBOLA;438,59
3908299522;4584265375;MIRIM DOCE;SC;-27,197;-50,0786;TRIGO;ATIVA;CHIQUINHA DA BATATA;175,34
7120509342;2740596186;AMÉRICO BRASILIENSE;SP;-21,7288;-48,1147;MAÇÃ;ATIVA;TONHÃO SOJINHA;174,04
1376144589;4892577092;SÃO PEDRO DOS FERROS;MG;-20,1732;-42,5251;TRIGO;ATIVA;TONHÃO SOJINHA;227,93
4449021312;1055799228;MOCOCA;SP;-21,4647;-47,0024;TRIGO;ATIVA;MANÉ DO MILHO;463,36
1672837365;9290413309;SÃO BONIFÁCIO;SC;-27,9009;-48,9326;TRIGO;ATIVA;MARIAZINHA DO TRIGO;63,41
2803102649;8661022828;IVAIPORÃ;PR;-24,2485;-51,6754;TRIGO;ATIVA;ZÉ DA SOJA;327,64
7538829017;2032985204;PATO BRAGADO;PR;-24,6271;-54,2265;MILHO;ATIVA;JUJU DO TRIGO;420,07
2262576371;4558241675;BURITI DO TOCANTINS;TO;-5,31448;-48,2271;TRIGO;ATIVA;MANÉ DO TRIGO;163,13
5573422862;4863123273;LAJES PINTADAS;RN;-6,14943;-36,1171;MILHO;ATIVA;JOÃOZINHO DO TOMATE;344,04
3260558446;5499683755;LIMA DUARTE;MG;-21,8386;-43,7934;BATATA;ATIVA;SEU PEDRO DO TOMATE;87,88
6806940844;3848108872;DIVINO DAS LARANJEIRAS;MG;-18,7755;-41,4781;MILHO;ATIVA;SEU PEDRO SOJINHA;241,14
4781000707;1313922011;SIMÕES;PI;-7,59109;-40,8137;SOJA;ATIVA;BETO SOJINHA;164,45
2072731646;1683349232;LAGOA DE SÃO FRANCISCO;PI;-4,38505;-41,5969;BATATA;ATIVA;JOÃOZINHO DO MILHO;125,1
5027094682;4840707300;PIRANGUÇU;MG;-22,5249;-45,4945;MILHO;ATIVA;MANÉ SOJINHA;465,79
6980671051;3894158448;CANGUARETAMA;RN;-6,37193;-35,1281;MAÇÃ;ATIVA;JOÃOZINHO DO TRIGO;242,07
3617274386;9967711839;BARCELONA;RN;-5,94284;-35,9247;MAÇÃ;ATIVA;SEU PEDRO DO ALGODÃO;256,59
2330911642;8431731898;SANTA VITÓRIA DO PALMAR;RS;-33,525;-53,3717;SOJA;ATIVA;BETO DA CEBOLA;250,56
1152859339;6761422384;CAETÉ;MG;-19,8826;-43,6704;TRIGO;ATIVA;LURDINHA DA BATATA;429,04
2649173622;1407116376;SANTA TEREZINHA DE GOIÁS;GO;-14,4326;-49,7091;TRIGO;ATIVA;DONA LÚCIA DO TRIGO;480,23
2505756346;3355095946;AMPARO;SP;-22,7088;-46,772;BATATA;ATIVA;MARIAZINHA SOJINHA;14,21
3634783960;8783121395;TAMARANA;PR;-23,7204;-51,0991;MILHO;ATIVA;JOÃOZINHO DA BATATA;15,15
9417034343;6836531873;CRUZEIRO DO SUL;RS;-29,5148;-51,9928;BATATA;ATIVA;DONA LÚCIA DO ARROZ;186,84
6015862512;7356288552;CACOAL;RO;-11,4343;-61,4562;BATATA;ATIVA;SEU PEDRO DO MILHO;461,93
3894001711;9301661089;LOANDA;PR;-22,9232;-53,1362;SOJA;ATIVA;TONHÃO DA SOJA;218,65
8436896663;2712359449;BATATAIS;SP;-20,8929;-47,5921;BATATA;ATIVA;MANÉ SOJINHA;45,42
1823584173;2498972229;TABULEIRO;MG;-21,3632;-43,2381;TRIGO;ATIVA;BETO DO CAFÉ;126,98
7799098523;6736849128;RIO BONITO DO IGUAÇU;PR;-25,4874;-52,5292;BATATA;ATIVA;JUJU DO CAFÉ;321,44
9684437383;7555351938;FEIRA DA MATA;BA;-14,2044;-44,2744;MILHO;ATIVA;JOÃOZINHO DO ALGODÃO;168
9514949416;1781301013;EPITACIOLÂNDIA;AC;-11,0188;-68,7341;BATATA;ATIVA;SEU PEDRO DA CEBOLA;167,62
5296275478;2883281157;NATIVIDADE;TO;-11,7034;-47,7223;SOJA;ATIVA;CHIQUINHA DO MILHO;186,19
4308710051;4860182398;SÃO FERNANDO;RN;-6,37975;-37,1864;MAÇÃ;ATIVA;JUJU DO TOMATE;75,18
2639361444;6741259556;CAPELA DO ALTO;SP;-23,4685;-47,7388;MAÇÃ;ATIVA;JOÃOZINHO DO TOMATE;476,3
9470276124;6033196671;TRÊS BARRAS;SC;-26,1056;-50,3197;MAÇÃ;ATIVA;MANÉ DO TRIGO;159,86
8696492617;5105855991;ESTRELA DO NORTE;SP;-22,4859;-51,6632;TRIGO;ATIVA;LURDINHA DA CEBOLA;190,51
8596013286;2151132081;NOVA ERA;MG;-19,7577;-43,0333;TRIGO;ATIVA;DONA LÚCIA DO CAFÉ;71,6
7268025370;4914910208;MONTE SANTO DE MINAS;MG;-21,1873;-46,9753;BATATA;ATIVA;BETO DO MILHO;445,02
8975277246;9941173385;JUAZEIRO DO PIAUÍ;PI;-5,17459;-41,6976;TRIGO;ATIVA;ROSINHA DA SOJA;25,88
2435962488;3747480590;LAJEDO DO TABOCAL;BA;-13,4663;-40,2204;MILHO;ATIVA;CHIQUINHA DO TRIGO;251,09
3227326608;8337750829;DOM INOCÊNCIO;PI;-9,00516;-41,9697;TRIGO;ATIVA;SEU PEDRO DO TOMATE;477,31
4101754777;7120161021;MILAGRES;BA;-12,8646;-39,8611;MILHO;ATIVA;MARIAZINHA DO ARROZ;327,95
8270456787;6086152889;LAGOA DO CARRO;PE;-7,84383;-35,3108;MILHO;ATIVA;ROSINHA DO ALGODÃO;408,73
3021918142;8741874845;SÃO SEBASTIÃO DA GRAMA;SP;-21,7041;-46,8208;TRIGO;ATIVA;JUJU DO TRIGO;406,67
7209374921;8599678949;TANQUE NOVO;BA;-13,5485;-42,4934;SOJA;ATIVA;DONA LÚCIA DA SOJA;121,51
7247685875;4795930288;PASSA QUATRO;MG;-22,3871;-44,9709;MILHO;ATIVA;BETO DO ARROZ;153,73
5311518075;4002218407;CONQUISTA;MG;-19,9312;-47,5492;MILHO;ATIVA;MANÉ DA BATATA;89,42
8548036578;3231098982;GUAÍRA;PR;-24,085;-54,2573;SOJA;ATIVA;MARIAZINHA DO ARROZ;245,59
5908964521;3924710323;VÁRZEA DA ROÇA;BA;-11,6005;-40,1328;TRIGO;ATIVA;DONA LÚCIA DO ARROZ;219,11
1738063426;3650271898;ENÉAS MARQUES;PR;-25,9445;-53,1659;MAÇÃ;ATIVA;JUJU DA CEBOLA;59,3
6898088014;6939644179;DARCINÓPOLIS;TO;-6,71591;-47,7597;SOJA;ATIVA;JOÃOZINHO DO CAFÉ;329,9
3195846193;7199065324;GUATAPARÁ;SP;-21,4944;-48,0356;MILHO;ATIVA;ZÉ DO MILHO;214,97
9261728306;3824136030;NOVA BRASILÂNDIA D'OESTE;RO;-11,7247;-62,3127;SOJA;ATIVA;MANÉ DO MILHO;14,22
4413025514;8986771821;IPIRANGA DO PIAUÍ;PI;-6,82421;-41,7381;MILHO;ATIVA;MANÉ DO ALGODÃO;189,22
8900371927;5927418216;VILA BOA;GO;-15,0387;-47,052;TRIGO;ATIVA;DONA LÚCIA DA SOJA;479,23
9103643309;5209548662;VIÇOSA DO CEARÁ;CE;-3,5667;-41,0916;MILHO;ATIVA;LURDINHA DO TRIGO;344,85
3097414885;6835168122;COLINAS DO SUL;GO;-14,1528;-48,076;BATATA;ATIVA;ZÉ DA SOJA;215,87
6139822220;9039280462;PRESIDENTE MÉDICI;MA;-2,38991;-45,82;MILHO;ATIVA;JOÃOZINHO SOJINHA;165,67
8280861480;6427679593;LAGES;SC;-27,815;-50,3259;SOJA;ATIVA;ZÉ DO TOMATE;314,07
6302124290;7160595498;SÍTIO DO QUINTO;BA;-10,3545;-38,2213;BATATA;ATIVA;JUJU DO MILHO;56,05
1390364156;9413315969;CLÁUDIO;MG;-20,4437;-44,7673;BATATA;ATIVA;JUJU DO ARROZ;14,64
2861013330;9579066596;BONFIM DO PIAUÍ;PI;-9,1605;-42,8865;MILHO;ATIVA;TONHÃO DO ARROZ;238,97
5659445620;8314553286;VISTA GAÚCHA;RS;-27,2902;-53,6974;TRIGO;ATIVA;MARIAZINHA DO ALGODÃO;257,53
5111305184;7767303711;SÃO JOSÉ DA BOA VISTA;PR;-23,9122;-49,6577;TRIGO;ATIVA;DONA LÚCIA DO MILHO;130,91
9811474672;6896762017;SANTA IZABEL DO PARÁ;PA;-1,29686;-48,1606;MILHO;ATIVA;JUJU DA CEBOLA;130,18
3993676359;2192682115;PEREIRO;CE;-6,03576;-38,4624;BATATA;ATIVA;ROSINHA DO TRIGO;63,78
2521140891;7117339330;UBARANA;SP;-21,165;-49,7198;MAÇÃ;ATIVA;ROSINHA DO ARROZ;213,61
6715467668;3978031826;SÃO JOSÉ DO JACURI;MG;-18,281;-42,6729;MILHO;ATIVA;CHIQUINHA DO ALGODÃO;494,25
4358405785;4774956152;BODOQUENA;MS;-20,537;-56,7127;SOJA;ATIVA;DONA LÚCIA DO TRIGO;148,03
4928647135;2895555592;GUAPOREMA;PR;-23,3402;-52,7786;MAÇÃ;ATIVA;MANÉ DO CAFÉ;496,12
4353173820;6197588567;OLINDA;PE;-8,01017;-34,8545;BATATA;ATIVA;TONHÃO DO MILHO;250,1
4617882697;6394365687;PERDIGÃO;MG;-19,9411;-45,078;SOJA;ATIVA;BETO DO CAFÉ;186,62
5096072407;1711792013;CUJUBIM;RO;-9,36065;-62,5846;MAÇÃ;ATIVA;ROSINHA DO CAFÉ;154,93
1087339269;9867539576;NOVA CAMPINA;SP;-24,1224;-48,9022;MAÇÃ;ATIVA;JOÃOZINHO DO TOMATE;409,4
4559958736;8646979912;PETROLINA;PE;-9,38866;-40,5027;MAÇÃ;ATIVA;BETO DO ALGODÃO;215,24
3137518338;1326866748;TIGRINHOS;SC;-26,6876;-53,1545;SOJA;ATIVA;TONHÃO DA CEBOLA;89,75
1763849366;1352281668;FRANCISCO SANTOS;PI;-6,99491;-41,1288;MILHO;ATIVA;ROSINHA DA BATATA;480,57
3432559590;1439642813;SÃO GABRIEL;BA;-11,2175;-41,8843;MILHO;ATIVA;MANÉ DO ALGODÃO;239,07
7118773581;8729565962;COCALINHO;MT;-14,3903;-51,0001;BATATA;ATIVA;ROSINHA DO ARROZ;43
2168746576;7326411793;PARAÍSO DO SUL;RS;-29,6717;-53,144;SOJA;ATIVA;MANÉ DA SOJA;51,11
6709381948;8474078448;ORIENTE;SP;-22,1549;-50,0971;MAÇÃ;ATIVA;JUJU DA CEBOLA;335,6
1155146490;8666715461;DUQUE BACELAR;MA;-4,15002;-42,9477;TRIGO;ATIVA;BETO DA BATATA;102,47
8616146553;2151408543;PEDRA GRANDE;RN;-5,14988;-35,876;MAÇÃ;ATIVA;MANÉ DO TRIGO;127,34
7829861354;8712831068;MATELÂNDIA;PR;-25,2496;-53,9935;SOJA;ATIVA;JUJU DA CEBOLA;123,62
4263154996;1011633681;MONTE FORMOSO;MG;-16,8691;-41,2473;MILHO;ATIVA;SEU PEDRO DA CEBOLA;189,9
9882022772;1789578289;BOM REPOUSO;MG;-22,4675;-46,144;BATATA;ATIVA;TONHÃO DA BATATA;349,81
7593658297;3399806547;IGUATEMI;MS;-23,6736;-54,5637;TRIGO;ATIVA;ZÉ DO CAFÉ;173,55
2715950829;9865380260;RAFAEL GODEIRO;RN;-6,07244;-37,716;MILHO;ATIVA;JUJU DO TOMATE;227,32
2982385831;1804865814;SÃO JORGE;RS;-28,4984;-51,7064;MAÇÃ;ATIVA;JOÃOZINHO DO CAFÉ;378,73
7793740572;5414774012;CACHOEIRINHA;TO;-6,1156;-47,9234;SOJA;ATIVA;MANÉ DA SOJA;201,6
7952835826;4674519151;OURIÇANGAS;BA;-12,0175;-38,6166;MAÇÃ;ATIVA;TONHÃO DO TOMATE;497,66
7664361943;1258648617;TOCANTÍNIA;TO;-9,5632;-48,3741;MAÇÃ;ATIVA;JOÃOZINHO DO TOMATE;174,21
7691036032;5519971444;TAQUARITUBA;SP;-23,5307;-49,241;TRIGO;ATIVA;JUJU SOJINHA;435,88
9584280807;1542938044;ESPLANADA;BA;-11,7942;-37,9432;BATATA;ATIVA;JUJU DO MILHO;45,79
4679439875;6893450176;LIMOEIRO DE ANADIA;AL;-9,74098;-36,5121;TRIGO;ATIVA;CHIQUINHA SOJINHA;424,09
3611388238;8724923935;EXTREMOZ;RN;-5,70143;-35,3048;TRIGO;ATIVA;ROSINHA DO ARROZ;174,88
8856960409;2211026919;VITÓRIA DA CONQUISTA;BA;-14,8615;-40,8442;MILHO;ATIVA;BETO DA CEBOLA;18,36
5306587812;6440694346;SAPUCAÍ-MIRIM;MG;-22,7409;-45,738;BATATA;ATIVA;JOÃOZINHO DA BATATA;215,07
3470169165;3639648161;PAIAL;SC;-27,2541;-52,4975;MAÇÃ;ATIVA;DONA LÚCIA DO TOMATE;196,68
8752308789;8239985444;AMETISTA DO SUL;RS;-27,3607;-53,183;BATATA;ATIVA;BETO DA SOJA;371,04
7510029629;8509791664;NAZÁRIA;PI;-5,35128;-42,8153;MILHO;ATIVA;MARIAZINHA SOJINHA;124,48
5392449387;4024155823;RIO DOS ÍNDIOS;RS;-27,2973;-52,8417;BATATA;ATIVA;TONHÃO DA SOJA;277,35
3969725736;2443841482;SANTANA;AP;-0,045434;-51,1729;TRIGO;ATIVA;DONA LÚCIA DA SOJA;416,28
7161478023;4855064329;BREJINHO DE NAZARÉ;TO;-11,0058;-48,5683;BATATA;ATIVA;MARIAZINHA DO TRIGO;475,78
7185672579;2583850950;SANTA FÉ;PR;-23,04;-51,808;SOJA;ATIVA;ZÉ DA BATATA;167,52
